== BUDGET oracle FAKE (contract-emulating fake, budgeted scratch) ==
mode	FAKE native (counting stub) + BUDGETED scratch (TASK-64 variant C)
stream	d	call	naiveOps	capOps	expA/expR	actA/actR	capCheck	result
S1-MOVE	63	3	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	4	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	5	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	6	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	7	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	8	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	9	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	10	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	11	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	12	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	13	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	14	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	15	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	16	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	17	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	18	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	19	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	20	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	21	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	22	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	23	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	24	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	25	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	26	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	27	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	28	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	29	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	30	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	31	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	32	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	33	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	34	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	35	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	36	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	37	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	38	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	39	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	40	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	41	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	42	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	43	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	44	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	45	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	46	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	47	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	48	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	49	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	50	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	51	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	52	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	53	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	54	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	55	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	56	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	57	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	58	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	59	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	60	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	61	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	62	506	1012	253/253	253/253	budgetOK	PASS
S1-MOVE	63	63	254	1012	127/127	127/127	budgetOK	PASS
S1-MOVE	63	64	506	1012	253/253	253/253	budgetOK	PASS
S2-RESIZE	63	1	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	2	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	3	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	4	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	5	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	6	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	7	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	8	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	9	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	10	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	11	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	12	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	13	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	14	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	15	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	16	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	17	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	18	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	19	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	20	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	21	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	22	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	23	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	24	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	25	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	26	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	27	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	28	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	29	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	30	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	31	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	32	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	33	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	34	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	35	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	36	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	37	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	38	512	1024	0/512	0/512	budgetOK	PASS
S2-RESIZE	63	39	512	1024	512/0	512/0	budgetOK	PASS
S2-RESIZE	63	40	512	1024	0/512	0/512	budgetOK	PASS
