22440:
 num     #instances         #bytes  class name (module)
 193:          1520          36480  net.minecraft.world.level.biome.Climate$RTree$SubTree
 194:           907          36280  net.minecraft.world.item.BlockItem
 195:          1510          36240  com.mojang.serialization.Codec$2
 196:          1488          35712  org.bukkit.craftbukkit.inventory.CraftItemType
 197:          1461          35064  net.minecraft.world.item.crafting.RecipeHolder
 198:          1450          34800  net.minecraft.world.item.crafting.PlacementInfo
 199:          1450          34800  net.minecraft.world.item.crafting.RecipeManager$ServerDisplayInfo
 200:          1449          34776  net.minecraft.advancements.critereon.RecipeUnlockedTrigger$TriggerInstance
 201:           862          34480  sun.security.util.DerInputStream (java.base@21.0.2)
 202:          1063          34016  java.util.Locale (java.base@21.0.2)
 203:          1063          34016  sun.util.locale.BaseLocale (java.base@21.0.2)
 204:          2104          33664  org.bukkit.Material$$Lambda/0x00007ff1e898d190
 205:          2104          33664  org.bukkit.Material$$Lambda/0x00007ff1e898d3c8
 206:          1044          33408  sun.util.locale.BaseLocale$Key (java.base@21.0.2)
 207:          1380          33120  jdk.jfr.AnnotationElement (jdk.jfr@21.0.2)
 208:             2          32800  [Lca.spottedleaf.dataconverter.types.MapType;
 209:           680          32640  java.lang.invoke.MethodHandleImpl$CountingWrapper (java.base@21.0.2)
 210:          2011          32176  net.minecraft.util.parsing.packrat.Atom
 211:          1990          31840  com.mojang.datafixers.DataFixUtils$$Lambda/0x00007ff1e83fc9b0
 212:          1990          31840  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007ff1e83fd070
 213:          1990          31840  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007ff1e83fd2b0
 214:          1320          31680  org.bukkit.craftbukkit.CraftLootTable
 215:          1317          31608  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.2)
 216:           786          31440  com.google.common.collect.RegularImmutableMap
 217:          1307          31368  com.mojang.serialization.MapCodec$$Lambda/0x00007ff1e81b1e08
 218:           782          31280  com.google.common.collect.ImmutableSortedMap
 219:          1286          30864  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.2)
 220:          1268          30432  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.2)
 221:          1265          30360  net.minecraft.util.random.Weighted
 222:          1259          30216  net.minecraft.util.parsing.packrat.Rule$WrappedTerm
 223:           619          29712  java.util.WeakHashMap (java.base@21.0.2)
 224:           625          29696  [Ljava.lang.reflect.Method; (java.base@21.0.2)
 225:          1222          29328  com.mojang.datafixers.util.Either$Left
 226:           609          29232  com.google.common.collect.SingletonImmutableBiMap
 227:           730          29200  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.2)
 228:           362          28960  net.minecraft.advancements.critereon.EntityPredicate
 229:             8          28800  [Ljava.nio.ByteBuffer; (java.base@21.0.2)
 230:           898          28736  java.lang.Package (java.base@21.0.2)
 231:           511          28616  net.minecraft.network.chat.Style
 232:          1171          28104  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable
 233:          1171          28104  it.unimi.dsi.fastutil.objects.ReferenceArrayList
 234:          1171          28104  net.minecraft.world.level.block.state.StateDefinition
 235:          1171          28104  net.minecraft.world.level.block.state.StateDefinition$$Lambda/0x00007ff1e83e3d10
 236:           701          28040  net.minecraft.world.item.crafting.ShapedRecipePattern
 237:           700          28000  net.minecraft.world.item.crafting.ShapedRecipe
 238:          1166          27984  org.bukkit.craftbukkit.block.CraftBlockType
 239:           867          27744  com.mojang.serialization.codecs.OptionalFieldCodec
 240:          1153          27672  net.minecraft.nbt.LongTag
 241:           862          27584  sun.security.util.DerValue (java.base@21.0.2)
 242:          1694          27104  net.minecraft.world.item.crafting.display.SlotDisplay$ItemStackSlotDisplay
 243:           564          27072  java.util.TreeMap (java.base@21.0.2)
 244:          1677          26832  net.minecraft.util.datafix.schemas.V1460$$Lambda/0x00007ff1e86d2640
 245:          1661          26576  net.minecraft.core.Holder$Direct
 246:          1094          26256  it.unimi.dsi.fastutil.ints.IntArrayList
 247:           816          26112  net.minecraft.world.level.storage.loot.functions.SetItemCountFunction
 248:          1086          26064  com.mojang.serialization.codecs.RecordCodecBuilder$2
 249:          1576          25216  java.util.AbstractMap$1 (java.base@21.0.2)
 250:          1575          25200  net.minecraft.advancements.AdvancementRequirements
 251:           782          25024  com.google.common.collect.RegularImmutableSortedSet
 252:          1040          24960  net.minecraft.util.parsing.packrat.commands.StringReaderTerms$2
 253:           618          24720  java.util.WeakHashMap$Entry (java.base@21.0.2)
 254:          1024          24576  org.bukkit.craftbukkit.block.impl.CraftFire
 255:          1024          24576  org.bukkit.craftbukkit.block.impl.CraftStainedGlassPane
 256:          1020          24480  com.mojang.datafixers.types.templates.Check
 257:          1530          24480  net.minecraft.core.component.DataComponentMap$Builder$SimpleMap
 258:           599          23960  net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate$JigsawBlockInfo
 259:           596          23840  net.minecraft.world.phys.Vec3
 260:          1488          23808  org.bukkit.craftbukkit.inventory.CraftItemType$$Lambda/0x00007ff1e89c5430
 261:           595          23800  java.lang.Package$VersionInfo (java.base@21.0.2)
 262:           594          23760  net.minecraft.world.level.levelgen.synth.ImprovedNoise
 263:           982          23568  com.mojang.serialization.Decoder$1
 264:           729          23328  org.bukkit.configuration.MemorySection
 265:          1450          23200  net.minecraft.world.item.crafting.display.RecipeDisplayId
 266:           312          22464  io.netty.buffer.PoolSubpage
 267:           701          22432  net.minecraft.world.item.crafting.display.ShapedCraftingRecipeDisplay
 268:          1358          21728  java.util.HashMap$EntrySet (java.base@21.0.2)
 269:           387          21672  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@21.0.2)
 270:           677          21664  java.lang.ref.ReferenceQueue (java.base@21.0.2)
 271:           677          21664  jdk.internal.reflect.MethodHandleIntegerFieldAccessorImpl (java.base@21.0.2)
 272:           338          21632  sun.security.ssl.CipherSuite (java.base@21.0.2)
 273:           449          21552  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.2)
 274:           525          21000  net.minecraft.util.CubicSpline$Multipoint
 275:          1307          20912  com.mojang.serialization.Encoder$4
 276:           862          20688  [Lsun.security.x509.AVA; (java.base@21.0.2)
 277:           862          20688  sun.security.x509.AVA (java.base@21.0.2)
 278:           862          20688  sun.security.x509.RDN (java.base@21.0.2)
 279:           322          20608  java.security.Provider$Service (java.base@21.0.2)
 280:           320          20480  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap
 281:           634          20288  org.objectweb.asm.Type
 282:           839          20136  java.security.Provider$ServiceKey (java.base@21.0.2)
 283:           314          20072  [Ljava.util.Map$Entry; (java.base@21.0.2)
 284:           832          19968  org.bukkit.craftbukkit.block.impl.CraftFence
 285:           498          19920  java.util.IdentityHashMap (java.base@21.0.2)
 286:           603          19296  net.minecraft.world.level.levelgen.structure.pools.LegacySinglePoolElement
 287:           785          18840  com.mojang.serialization.Encoder$1
 288:           783          18792  net.minecraft.world.level.biome.MobSpawnSettings$SpawnerData
 289:           781          18744  com.google.common.collect.ImmutableSortedMap$1EntrySet
 290:           778          18672  org.bukkit.craftbukkit.block.data.CraftBlockData
 291:          1166          18656  org.bukkit.craftbukkit.block.CraftBlockType$$Lambda/0x00007ff1e89be0b0
 292:          1166          18656  org.bukkit.craftbukkit.block.CraftBlockType$$Lambda/0x00007ff1e89be2e8
 293:           290          18560  java.net.URL (java.base@21.0.2)
 294:          1153          18448  net.minecraft.nbt.IntTag
 295:          1153          18448  net.minecraft.nbt.ShortTag
 296:           768          18432  org.bukkit.craftbukkit.block.impl.CraftCalibratedSculkSensor
 297:           768          18432  org.bukkit.craftbukkit.block.impl.CraftFenceGate
 298:           768          18432  org.bukkit.craftbukkit.block.impl.CraftStandingSign
 299:           558          17856  it.unimi.dsi.fastutil.ints.Int2ObjectAVLTreeMap$Entry
 300:          1114          17824  java.util.concurrent.locks.ReentrantLock (java.base@21.0.2)
 301:           556          17792  it.unimi.dsi.fastutil.ints.IntAVLTreeSet$Entry
 302:          1098          17568  net.minecraft.world.level.levelgen.DensityFunctions$HolderHolder
 303:             2          17440  [Lcom.mojang.serialization.Dynamic;
 304:           725          17400  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.2)
 305:          1087          17392  com.mojang.serialization.Decoder$$Lambda/0x00007ff1e81af9b0
 306:          1086          17376  com.mojang.serialization.codecs.RecordCodecBuilder$Instance
 307:           724          17376  net.minecraft.world.level.levelgen.SurfaceRules$TestRuleSource
 308:           540          17280  com.google.common.collect.MapMakerInternalMap$WeakKeyDummyValueEntry
 309:           720          17280  com.mojang.serialization.Encoder$2
 310:           127          17272  sun.nio.fs.UnixFileAttributes (java.base@21.0.2)
 311:           719          17256  net.minecraft.world.level.storage.loot.providers.number.UniformGenerator
 312:          1078          17248  com.mojang.serialization.codecs.RecordCodecBuilder$$Lambda/0x00007ff1e81ba430
 313:           358          17184  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.2)
 314:           531          16992  net.minecraft.world.level.levelgen.structure.pools.SinglePoolElement
 315:             2          16864  [Lorg.bukkit.Material;
 316:           701          16824  net.minecraft.world.item.crafting.ShapedRecipePattern$Data
 317:           699          16776  net.minecraft.util.random.WeightedList
 318:           696          16704  org.bukkit.craftbukkit.block.impl.CraftSlab
 319:          1041          16656  it.unimi.dsi.fastutil.chars.CharImmutableList
 320:           692          16608  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.2)
 321:           517          16544  java.lang.ref.WeakReference (java.base@21.0.2)
 322:           344          16512  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@21.0.2)
 323:           202          16160  io.papermc.paper.command.brigadier.ShadowBrigNode
 324:           672          16128  org.bukkit.craftbukkit.block.impl.CraftButton
 325:           997          15952  com.google.common.collect.SingletonImmutableList
 326:           652          15648  java.util.OptionalInt (java.base@21.0.2)
 327:           640          15360  org.bukkit.craftbukkit.block.impl.CraftWeatheringCopperStair
 328:           479          15328  java.util.Hashtable$Entry (java.base@21.0.2)
 329:           318          15264  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.2)
 330:           945          15120  net.minecraft.util.CubicSpline$Constant
 331:           472          15104  com.mojang.datafixers.types.templates.Hook$HookType
 332:           628          15072  java.util.LinkedList$Node (java.base@21.0.2)
 333:           627          15048  net.minecraft.tags.TagKey
 334:           626          15024  java.util.jar.Attributes$Name (java.base@21.0.2)
 335:           625          15000  net.minecraft.nbt.SnbtGrammar$IntegerSuffix
 336:           143          14872  java.util.jar.JarFile$JarFileEntry (java.base@21.0.2)
 337:           927          14832  net.minecraft.util.parsing.packrat.Term$Alternative
 338:           168          14784  jdk.jfr.internal.PlatformEventType (jdk.jfr@21.0.2)
 339:           612          14688  net.minecraft.core.HolderSet$Named
 340:           451          14432  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl (java.base@21.0.2)
 341:           594          14256  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@21.0.2)
 342:           173          13840  net.minecraft.world.level.block.Block
 343:           432          13824  com.mojang.serialization.codecs.RecordCodecBuilder$Instance$$Lambda/0x00007ff1e81baae8
 344:           432          13824  com.mojang.serialization.codecs.RecordCodecBuilder$Instance$3
 345:           344          13760  net.minecraft.world.level.levelgen.DensityFunctions$Ap2
 346:           558          13392  sun.security.util.DomainName$Rule (java.base@21.0.2)
 347:           544          13056  org.bukkit.craftbukkit.block.impl.CraftCandle
 348:           542          13008  java.util.ImmutableCollections$Set12 (java.base@21.0.2)
 349:           323          12920  [Ljava.util.HashSet; (java.base@21.0.2)
 350:           323          12920  jdk.jfr.internal.Control (jdk.jfr@21.0.2)
 351:           200          12800  org.bukkit.craftbukkit.command.VanillaCommandWrapper
 352:           526          12624  com.mojang.serialization.Decoder$2
